,Responses,Final Score
554,"Nonorganic seems as though it is the best option to sustain the environment and a number of people in the world. It seems that going organic has more cons than pros, as it is causing greenhouse gases, taking up more land, and causing more drought. ",20
555,I feel organic crop farming is still the best option because it is better for the environment and creates jobs. More regulation on pesticides needs to occur though. I feel non organic animal farming is okay as long as it is regulated. Animals should not be fed antibiotics and their waste needs to be converted into energy.,25
556,To eat as organic as possible and mostly fresh fruit and vegetables. When we eat meat its harder for our bodies to digest and processed foods are hard as well.,10
557,I'm still undecided ,0
558,"I would tell my friends to go with organic farming because it is going to be beneficial in the years to come. Although it is more tideous for the farmers, they can make more profit to produce more of it. ",10
559,"I would explain to my friends exactly what organic farming is before making them pick and choose. Organic Farming is indeed this type of farming that's suppose to be good for the environment but like anything else in the world it has it's pros and cons. I would list the pros and cons and typically weigh each option hand and hand to see which one is less harmful and more beneficial for a greater cause. Everything organic isn't all good. Organic products indeed are luxuries that the world can't afford as a whole. Although, organic farming is a natural alternative it simply causes problems that lead up to global warming issues. So with everything being said I'd evaluate the best option in the situation in this sense picking the side against organic farming because although its a great alternative it also causes problematic issues for the environment. ",15
560,"Organic food is no doubt the healthier more beneficial food type to choose but from personal experience i would say non organic would be the tastier food choice, and has the ability to be somewhat healthy for you.  ",15
561,"Organic farming is a very healthy and preferable alternative than modern conventional farming methods. However, with the population of Earth increasing exponentially, options to feed a mass population are needed in order to ensure survival. Extensive research has been conducted  into the health effects of pesticides and the FDA and US Department of Agriculture have concluded that the foods produced using conventional pesticides are safe for human consumption. The best choice is modern farming techniques for its capability to feed the ever growing worldwide population, whereas organically grown crops are insufficient in quantity to provide apt nourishment for humanity.",15
562,"I would tell them to not be fooled by organic labels, and to remember that different countries have different standards for being ""organic."" In my opinion, I think that you're just wasting more money by buying organic stuff and that not all things that aren't organic are bad.",15
563,"I would tell my friends that while conventional farming is better for the population and sustaining food production for the upcoming years, organic farming has better results of living which can eliminate so many obstacles we face today such as illnesses from conventional pesticides, food poisoning, and other toxicity issues we encounter in America.",25
564,"Before these videos I didn't understand how toxic cow waste was to our environment. Especially saying how prominent beef is in the United States and there are cows everywhere. I would tell my friend the best option would be to try and go vegan for one meal out of the week, because one person wouldn't make a difference necessciarily but if more were to join it would go a lot better.",0
565,"There isn't a better option. They are both reasonable and being debated still for a good reason. When there's a ratio of pro's and con's for both and just as equally good/bad. I am undecided on the topic of organic vs. non-organic. Similarly, scientists can't decided one side or another because while organic food can be good, it can also be bad and lead to worse events. For example, there's more unhealthy gases in the air from organic cows than regular. ",5
566,organic foods and farming are better for the environment but in a world with a population steadily growing more than it can provide it would be best to stick with conventional foods because it gets the job done fast and easier.,20
567,"I think conventional farming is the best option because it produces high yields to sustain our population. Also, organic farming has many negative byproducts such as needing more land and water which we simply do not have because those are scarce resources. By acquiring more land it would damage the environment even more so that defeats the purpose of organic being healthy and good for everyone. Also cows produce twice as much methane gas on organic farms than on conventional farms so while trying to reduce the environmental footprint I feel like it is too late and we have already caused too much damage. Therefore, I believe we should stick with what is working which is conventional farming.",30
568,The superior option is definitely sustainable farming in my opinion.  It maximizes the product created by cows while minimizing harmful environmental effects.  It would help reduce the damage caused by the meat industry.,0
569,"Based on what I viewed, I believe that organic farming is still a better option because you're not using any chemicals and farmers have to find natural ways to produce our food. It is better for the environment even though you're generating small yields. ",25
570,I would tell them that Organic farming is the best option if it's for a controlled environment. I say this because it would take to slow and we would not get as much yield as we would if we grew it biochemically. ,15
571,I would tell them that organic is the way to go until more scientific research occurs on how it could be worse than conventional farming. ,10
572,"organic farming is better because of it healthy for you. Yes, some might cost a lot to buy food but it worth it because of it good for your health and you might live longer.",20
573,"Organic farming is what I would choose, because we only have one earth. Industrial farming is done simply because it's easy and convenient. If we put the same amount of time and energy into learning how to improve organic farming as we do with industrial farming, we'd have new convenient easy ways to farm while also helping the environment. Yes, it yields less, there's pesticides, it's harder to do, etc. But we could use the technology we have now to fix these problems. ",20
574,"I would tell my friends about the second video because it goes in depth about how organic farming isn't necessarily as clean and healthy as everybody thinks it is, it is actually harmful in ways.",15
575,"I think there needs to be a health medium between both conventional and and natural farming. I do believe some natural farming should be keep for the some individuals for society willing to pay for it. However, natural farming needs to have more limitations on the amount of land used. I also believe conventional farming should still be able to use pesticides but needs to have strict boundaries.   ",15
576,"Though I am completely for helping the environment, I am also a realist and with that being said I would advise my friends the best choice would be inorganic foods. As was stated in the video, to have organic farming would require a mass amount of water and land that would not be possible to obtain. Organic farms also require a lot of work from farmers themselves because although some chemicals can be used they rarely are. Pesticides get into the plants causing farmers to have to start over many times. All in all, organic seems like a great idea but realistically it would not happen. ",25
577,Organic. You lose the risk of developing diseases derived by GMOs and it is a more natural process.,15
578,"i would tell my friends that the best option would be organically grown foods, not only are the animals not give antibiotics, it also reduces the amount of pollution and is overall better for us in the long haul. ",20
579,"I'd say to purchase products from conventional farming as there is not enough evidence that says organic is healthier or safer for the environment. There are pros and cons that were discussed in the video, but not enough to convince me to go organic. Although organic farms only take 1% of the land, if they continue to grow there will have to be deforestation which I strongly oppose and to me that's already not worth buying produce that although it has fewer pesticides hasn't been proven to be healthier. ",15
580,I would tell my friends to purchase organic foods because there is a better chance of having less chemicals in them.,15
581,"Based on the videos, I would tell my friends to choose the conventional farming method because not only is it cheaper with a higher yield rate for food production, but the same if not less amounts of methane gas is released into the ozone layer, which can slow down the process of climate change. Also, Conventional farming and organic farming processes can both use insecticides and gmo's which is the reason people switch to organic in the first place, but organic produce can have small amounts of these chemicals in them too. ",30
582,I would tell my friends it is up to them. Either if they care more about their body or about the earth and how much money they would like to spend on the healthier choice. Of course there are some downsides with organic but there is always down sides to every produce on the market. ,0
583,"Organic farming is the better alternative to commercial farming in theory, but commercial farming uses less resources and yields more and is the better option.",20
584,"I would tell them that it is best if they were to go organic if they still wanted to eat meat simply for the fact that the producers are trying to keep up with the need of meat and it is causing them to inject the animals with a chemical that is bad for you to eat and it can cause damage to your body without you even knowing overtime. It is best to cut out meat in general but, if you just have to have it make sure that it is completely natural. ",15
585,To me there is a good and bad to everything so I would just tell them what I think is the best option and let them choose for themselves. ,0
586,I like the organic farming because it brings high nutrition values and improved human health.,15
587,"I think that a good mix between industrial style and organic style farming is a simple mix of the two. Obviously, it would he extremely harmful to the environment to purely stick to one style. Rather, we should incorporate a little bit of both for a more solid and non-destructive resolution.",5
588,organic farming is the best option because it is better for the environment and the people,15
589,I would say that organic farming is best because we can control what goes into our food without harmful chemicals.,15
590,"I think organic farming is the best option, because it utilizes all the materials and resources while minimizing the amount of toxins and pollution as a result. ",20
591,"I would tell my friends that organic farming is still the best option because when you take a closer look at each farming technique, conventional farming has far more cons than does organic farming. Yes, organic farming may produce more methane and yield lower crop yields, but conventional farming will require more land use causing us to tear down more of our forest which can, in turn, be  more detrimental to our environment. ",25
592,Organic farming does not seem a practical choice for the world today. The crop yields are much too low and require too many natural resources. I suggest making conventional farming more green rather than using organic farming. ,15
593,I would tell my friends the second video is the best choice because it takes into account the cons of organic farming and if it really could sustain our growing population.,15
594,"I think that despite the fact that there is less of a yield with organic farming compared to conventional methods, I think that organic is still that way to go because there are less chemicals used which means the long term effect on the body that could lead to extended life, we should be focused on what we are putting in our bodies as we are what we eat.  ",20
595,"I would say organic farming is a better option than conventional farming because there are no pesticides, genetically modified organisms, antibiotics, or additives. There is also less harm done to the environment, which is important with so many issues with the planet as it is.",25
596,The video suggest that organic eating is so much better for you body because their arent any pesticides  that may be harmful to your health in the future. Also we dont really know if things that are GMO are actually harmful to humans yet because its such a new sciance,15
597,I would choose organic farming because it eliminates the need for pesticides.,15
598,i would tell them that eating healthy is the most important step you're going to take in your lifetime. the video did an excellent job of detailing those out ,0
599,"I don't think organic farming is viable in this day and age. Like the narrator mentioned, many people like organic food because they believe that it is better. It stood out to me that the narrator said believe instead of saying that it is better for you. While people were able to sustain themselves with organic farming prior to the industrial revolution, that was only because there were so much fewer people. The maximum capacity that an environment can have eventually levels out, but, with humans, technological advances allow us to grow beyond our habitat's natural max capacity. Just because organic farming is how it used to be done and can be seen as more pure than farming today, doesn't mean that it is better. Technology advances the way it does to help humanity; going backwards won't often yield better results.",20
600,I would recommend the organic way because it provides us with the best resources when it comes to pertaining to the body . It as well help the world in a more helpful manner instead of all the chemicals beginning to be put into our foods now. Its more of a health way of eating and saving the planet. ,20
601,"Non organic farming, greenhouse gases are a problem and the fact that it produces more beats the idea of it. The fact that more land needs to be used is a problem as well, because many forests are already being cut down for conventional farming and the world can't afford to get rid of more",20
700,"I would definitely recommend eating organic because it contains fewer pesticides, less preservatives, less antibiotics, growth hormones etc. It is overall healthier ",25
701,"to go organic, chemicals are the biggest part of it for me.",15
702,"The best choice is to eat organic food because it has no chemicals, has less pesticides, and maintains biodeversity.",25
703,"I believe the BEST option would be organic of course. Though it cost more, organic foods contain less chemicals which could benefit in the long run. ",20
704,"I would tell them to go organic, because of the lack of chemicals in foods.",15
705, I would tell them to make whatever choice makes them feel comfortable financially and morally. ,0
706,"Eating meat, because you get better protein, and it's better to have meat in your diet.

",0
707,"Organic is usually the better way to go in my opinion. It's better for the environment in a lot of ways, is healthier and you won't feel as bad eating it (especially pre-made freezer meals).",20
708,"I would say the best option is truly up to you and your lifestyle. If you're going to eat meat, then just be sure that it is a good quality meat, and do not go overboard with it. ",0
709,"Organic, its the best quality food and will contribute best to a good healthy diet. ",15
710,"I would say the best option is organic because there are less pesticides and chemicals involved, which doesn't affect the environment as much. Therefore, it can leaf to greater biodiversity. ",25
711,"organic

",10
712,A combination of both organic options and conventional farming ,0
713,"I would tell them to stay with conventional farming because it is going to be cheaper, and and more efficient than organic farming. Humans have been trying to perfect farming in mass quantity for thousands of years, conventional is the mainstream and effective way to grow. ",15
714,"I think its important to try and eat as clean as possible, we should try to avoid putting extra unknown chemicals into our bodies. ",15
715,"the best opinion for me is to continue to eat meat because it is what I am used to, but I do understand people that dont eat meat. ",0
716,"

Organic because its better for you. If you take care of your body now while you're young, it will take care of you later on.",10
717,"I would tell my friends that organic food is the best option because it has no chemicals, less pesticides, and maintains biodiversity. The health benefits of eating locally grown, organic food are tremendous.",25
718,"I will tell them that organic is better, but if they don't have money to buy it, that it's fine.",15
719,Organic foods are usually the best option because it's chemical free and better for your health.,20
720,"I would say that It is healthier to buy organic foods, however it is more expensive and is a luxury that our world may not be able to produce for everyone in the world.",15
721,I would tell my friends that going organic is the best option. Organic food is much better for us than conventional food. The chemicals and pesticides have less of an impact on the Earth. ,20
722,"I would say organic because of the many pros, less pesticides, maintaining biodiversity, no chemicals, etc. It's better for us and our body even though it's a bit more expensive.",35
723,"I would tell my friends that neither is the better option. I highly doubt that organic food consumption is going to sky-rocket, however they can feel free to eat whichever kind of food that they want. Sure, it is cheaper to eat conventional food, but if they can feel free to pay the up-charge for organic foods.",5
724,I would say no organic. I would rather be able to feed more people rather than having to find more land to create the same amount of food. ,20
725,"The overall best option, is organic food over conventional. It is the better choice for a healthy diet, because of the nutritional value provided. Conventional food includes processed food which contains pesticides and chemicals which are not good for the body. It is more convenient for people on the run to stop by a fast food restaurant or to choose the cheaper product, but with most things the cheaper option might not be the best option. For anyone, but mostly people concerned about or interested in pursing a healthier lifestyle choosing to go organic, is a great option. ",25
726,A balance between both. Support small organic farms when it comes to fresh produce such as fruits and vegetables but not rely only on those types of food since it does leave a mark on our planet.,0
727,"Honestly, I can't tell you what is good and what is not. It is up to the person what they want to do with their body and what they want to put in it. ",0
728,I think that buying organic is better because of the promotion of biodiversity and more natural ways of farming.,15
729,"I would like to say organic food is the best because it does not have chemicals, and it has less pesticides, which is good for our body, and it maintains biodiversity. Although organic food is more expensive than conventional food, it has a good value that excess the importance of price. Health is the first.",35
730,"I would tell them that if they have the option to choose organic as in the long run its better for the environment, but to not feel guilt for having to eat conventionally grown food if they can only afford that",20
731,Organic is the better option for a healthy lifestyle and I would highly recommend them to participate in eating free-range animals and more organic options. ,15
732,best would be organic because its healthier,15
733,"Organic because uses little to no pesticides, uses no chemicals, and maintains biodiversity.",25
734,"Even with the fact that organic foods are more expensive than conventional foods, I would recommend one to pay very close attention to what groceries they buy and where they buy them, as well as to take notes on price differences. A little research can go a long way in saving money on groceries. Farmers' markets are a great source of organic produce and tend to price their foods lower than big-name grocery stores like Walmart or Costco.",0
735,I believe that eating conventional is fine because it is less expensive ,15
736,Organic would be the best option because it not only benefits the environment but also peoples' nutrition. It also has a strong direct impact on employment which is hard for some to find.,25
737,"Conventional is better for the world and it's inhabitants, because it efficiently meets the requirements of feeding the inhabitants. ",20
738,"organic, healthwise. There are less chemicals, pesticides, and GMOs. The fresher and more natural, the healthier.",25
739,"Organic, if you look at it in a larger perspective it is better for the environment and it is safer without all those pesticides and fertilizers used to grow it.",20
740,Organic seems healthier for your body but harder to maintain and keep up with,15
741,Based on the video I would rather eat conventional food since its affordable and requires less land for the agriculture. Organic food even though they say there is not chemicals but there are chemicals required in order to grow them.,20
742,Conventional because it can sustain the human population better then the alternative.,15
743,I would tell them organic is the best because it is healthier. ,15
744,"I would suggest we choose conventional product, because we do not have it is not wise to invest more money in a product that will also create negative factors.",15
745,"Organic of course, because it is better for your body.",15
746,I would tell my friends to eat conventionally because they would save money. Eating organic is better for your body and better for the environment because it has less pesticides but at the same time it is more expensive.,20
747,"I would say conventional based on the limited information given in the two videos. Organic foods don't have many benefits over conventional foods, and they may not be completely organic.",10
748,Organic foods because it makes more sense and it keeps you alive longer.,10
749,"Organic, because it has no chemicals and less pesticides, although it is a little more pricey.",25
750,Organic is better for our bodies but not for the environment... its a fallacy of composition and will only hurt in other ways towards our environment.,15
751,I would tell them i think organic is a great option but sunce were on a budget as college students its probably not the most practical option. ,15
752,Organic has its perks but i believe anybody can eat non organic food and it be okay.,0
753,"organic , because there are less chemicals and not only is it better for them it also helps out the environment ",25
754,"organic, it has less pesticides, and no chemicals",20
755,I would tell my friends that organic food are the best options for them because though they are a little bit more expensive it is more healthy for them. Organic foods don't have man made chemicals and have far less pesticides than conventional food. ,30
756,Organic farming because it is better for you and better for the animals.,20
757,Organic because it is healthier ,15
758,I would say eat as healthy as possible. Try to mix in veggies and non GMO proteins for a balanced diet. ,0
759,I would say that developing health habits now such as switching some food groups and instead implementing more organic substitutes is best for nurturing good health ,10
760,It go organic to be healthy and the benefits of the environment and the long term benefits as well. ,20
761,To buy conventional fruits because the cost for buying organic is a factor we all need to consider. ,15
762,I would say go organic as much as you can. It is expensive but it also saves the environment. If we don't work on saving Earth then how are we supposed to live? ,20
763,"I would tell them that organic food is a much safer alternative. But I also believe that not all organic food is of better quality, so being we are all students on a budget, I would honestly recommend for a majority of their food to be non organic.",20
764,"I would tell my friends to choose whatever they felt comfortable with, although eating organically seems to be better in a lot of ways. There are also good things about eating conventionally. I would tell them to weigh their options before they made their decision.",0
765,I would say the organic is the best option for them because it is not chemical induced like the machine foods are. It also maintains a diversity.,20
766,"While it may not be the most cost efficient, it has less pesticides and herbicides. This makes it healthier than conventional products. Also as the yield is low paying the little extra money can help the farmers tremendously.",25
767,I will always say organic but only buying organic foods can get expensive and sometimes hard to find. ,15
768,i would say no chemicals because i don't understand it like i think i should. ,0
769,"Conventional foods, because I know organic foods are more expensive and you have to go to a farmers market to get them. Plus most of my friends don't have the kind of money to spend on organic foods or the patients to find a farmers market to get the organic foods. ",15
770,"I would tell them to choose to go organic because it will help open up more jobs, and also because it is more safer and clean.",15
771,Organic because there are less chemicals involved,15
772,"Organic, because it is better in the long run for our health and the environment we live in. ",20
773,"organic foods because they benefit the body more. While they are more expensive, they give the body the proper natural nutrients that it needs",20
774,"I would tell my friends that the best option is to eat organic foods because they are farmed without the usage of chemicals, less pesticides and maintain biodiversity on farms. ",25
775,"If my friends ask me what is the cheaper option I will tell them conventional. If my friends ask me what is the healthier option I will tell them organic. Personally, I think the better option would be organic because the fact that it has less chemicals and hormones. But as a broke college student I will pick conventional because it's cheaper and there is a wider variety on options.",25
776,Organic because overall the benefits outweigh the conventional benefits.,10
777,"Organic, although more expensive, is the more beneficial option. It has no chemicals and will help your body in the long run ",25
778,"Organic food, because organic food honestly better for you in the long run because even if you don't feel the effects of the chemicals now you will feel the effects of those foods in the future when you are older.",15
779,The best option is to eat organic food. Eating organic food is beneficial to the body and to your health. It gives you vitamins that your body needs and helps you when you age. Organic food will be a bit more expensive but it has a better taste and a better look to it. Your body will feel healthy once you consume organic items.,20
780,"Organic foods are the best option, however, it may not always be available to everyone. I feel that as long as people eat certain foods in moderation, they can still be healthy.",10
781,"I would tell my friends that eating organic is the best choice because despite it being more expensive, there are less pesticides and chemicals in the food. ",25
782,"While watching the video I would recommend organic to friends because I feel like Organic food is a better way to maintain a healthy lifestyle  as well as diet. Consuming to many conventional food may be deteriorating to health because it uses chemical fertilizing. Also the pricing of Organic is more expensive because it takes a longer time to produce, and usually longer time means the better the end product. ",30
783,"I'd tell my friends that organic is the best option because even though it's less convenient than conventional farming, it's healthier for our Earth and our bodies. ",25
784,"If the money is available, organic is the best option. This is true because it uses lest pesticides and chemicals compared to conventional foods. With a lower use of chemicals, it is also helping our environment that is slowly worsening.  ",30
785,"I feel like eating organic is better for you, but depending on their financial place in life maybe they should just keep eating the way they do. ",15
786,I would tell my friends that organic is the best option because it has no pesticides and no chemicals which is better for us. ,20
787,Organic farming,10
788,"Organic foods because they have no chemicals, less pesticides and they maintain biodiversity. ",25
789,"I would tell my friends that the conventional eater should just try out organic since we have been eating conventional for so long. We could try that for awhile, and we can even alternate meals for the conventional friend, but always have organic options. Also, tell the organic friend if that doesn't work, she will have to buy her own food and the two of us conventional eaters will have to split. Or vice versa depending if I went organic. ",0
790,"I would say organic farming, thinking about the long term effects on our environment and population.",20
791,"I would tell my friends to not go organic. Just because there are less pesticides and no chemicals, we are still broke college students that do not have the luxury of eating more expensive foods for the sake of ""healthy"" when inorganic food still provides us with the nutrients we need in order to maintain good health.",25
792,Organic foods are better because they use less pesticides and there are no chemicals,20
793,Organic because it is more healthy.,15
794,I think that my friends could make a compromise for some foods to be organic and some can still remain conventional. Items such as chips can remain conventional and fruits and veggies can be organic.,0
795,Organic; choosing organic is better for your health in many ways.,15
796,"Conventional, it is cheaper and still has good levels of nutrients 

",20
797,"Based on what I heard in the videos I would tell my friends to choose whats best for each of them because we don't know if no chemicals or less pesticides are being used on the foods we consume, and we also don't know if conventional farming is good either. So, who am I to tell my friends what to eat and what not to eat. I'll rather let them decide for themselves so if something does happen I won't be the one to blame. ",0
798,"Organic is the best choice because organic foods contain no chemicals, less pesticides and maintains biodiversity.",25
799,"I would tell my friend the best option is organic farming for the reason they use less pesticides and are said to maintain biodiversity. But I would also say there is nothing wrong with conventional farming either because its up to speed on where its needed to be at, as well as its cheaper for us. ",25
1,"The second choice definitely, as it is cleaner, and most cost-effective. ",15
2,"It would depend on why we are watching the videos. If it was for a class such as digestion or about pollution/methane production then I would chose the first video as it is more factual. If it was for self education, I would watch the second as it is a more interesting piece and not as dry. ",0
3,"I think sustainable agriculture is the best option because I think that it is more realistic. The chances of Americans decreasing their consumption of hamburgers a week is not likely especially over the summer, so many American families have barbecues like its their job. Using farming techniques that protect the environment, public health, human communities, and animal welfare is a smart and easy way to help protect the environment. ",25
5,"I would tell my friends that the best option is meatless sources. In video 2, they explained how milk, then manure to be used as fuel. Then crops are able to be grown. Its a better cycle.  ",15
7,"Personally, I would tell my friends that eating meat and consuming dairy products has a much bigger impact on the environment then they think. The video that was able to convert fertilizer to energy is extremely interesting but I still believe the overall cost of consuming animal products is wrong. I personally, don't eat meat or dairy, and have been a vegan for 2 years - so perhaps i'm biased. However, I do believe people need to start thinking about the impact their food has on their bodies and the environment. ",15
8,I would tell my friends that going meatless is the best option because it's the most environmentally friendly option. It is also the option that is the least cruelty-free. ,20
9,"Based on what I heard in the videos, I would suggest to a friend to start eating green in order to help improve sustainability of our planet. ",15
10,"I would tell my friends that beef is the least of our concerns when we have billions of cars, planes, factories, dumps and ect killing the planet",0
11,I would tell my friends the best option is to choose organically grown foods and choose foods from local markets. ,10
12,"Based on the two videos, I would tell my friends to try eating meals with less/no beef as well as buying locally grown produce because it is healthier and benefits local businesses. ",15
13,"The first video because it talks about the dangerous effects on humans and the environment based on cow manuer, and consumption of cow for hamburger beef. I believe this is crucial to know the negative effects the farming process and food handling is taking a toll on people in terms of weight and dangerous gases brought on by the cow manuer. ",15
14,"I believe the ability to use cows as a renewable fuel source is the best option. The majority of Americans will be too reluctant to quit consuming dairy products and cow meat, so it is best to use the cow in a healthy way for the environment.  ",15
15,"I would tell my friend to eat green, because if the average american actually does eat 3 burgers a week, that is scary, especially because of that rate, we have to feed cows corn which they are not even meant to be eating. ",5
16,To try to eat meat when you don't have too or choose to only eat it once a week instead of 3. This can help the environment and lower pollution the more people do it,15
17,I would tell them to do what the felt was the best ,0
18,I would tell my friend sustainable farming is the better option.,10
19,"i believe the best choice would be to go with the sustainable energy. there will always be meat eaters. it would take a lot of hard work and dedication to switch every meat eater into vegan. but the only option that we have without hurting the environment any more than we already are is to use the resources that we already have. using the methane from cows to power trucks, making it a form of green renewable energy. ",10
20,That using the manure to create gas is better because there is less pollution going into the atmosphere. ,5
21,I would tell my friends it is better to not support the cattle industry after watching the first video because cows are becoming a leading cause of pollution to the earth which is already a major issue. ,15
22,"Changing our farms so that they reuse the manure produced by the cows is the best solution. That way, Americans can still have as much meat as they want, and the environment isn't getting hurt.",15
23,The second option because it provides an easier and clearer solution.,10
24,I'd rather maintain a balanced consumption.,0
25,The best option is to eat meat that is preferable for you. As long as you have enough evidence to support your decision you should be fine.,5
26,"I would tell my friends that protein from an animal source is fine as long as there was no added antibiotics or growth hormones because it is a good source of protein, meaning there is a lot more protein in a serving of animal then from puts or seeds.",15
27,"I would tell my friends about the farm that uses the byproducts of cattle to help cattle survive while producing milk and energy. The video was happy and shorter so naturally, the attention is drawn to that.",10
28,"I would tell my friends the best option is the sustainable farming.  Having a farm with a lot of cows causes a lot of pollution to the air from the methane.  By using this method, farmers are able to use that polluting gas and turn it into something useful like fuel to transport your goods and fertilizer to produce food for their cows.  This method will help to limit the amount of methane that gets released into the air along with helping not too heat up the earth to quickly. ",20
29,"I think that making natural gas from cow manure is a great idea to sustain energy, since we already have so many cows in the US",5
30,"I would tell my friends about both videos, but encourage them to follow the first. I think this would be the best option because this is something they would be able to start immediately and some of us already do it. ",10
31,Animal products because they still taste good and are easily obtainable.,10
32,I'd tell my friends that that sustainable farming is the better option. Because it is the more likely to happen fewer people you have to convince.,10
33,the sustainable farming would be the better option because it uses natural gas and is better for the environment.,15
34,"Out of the two videos, I would tell my friends that sustainability is the best option (video 2) because you get the same results, but it is better for the environment. The first video shows the corrupt system that we as a society have created which ultimately causes green house gas pollution. Yet with sustainable farming, the milk and manure from Fair Oaks Farm in Indiana comes together in a digester to make renewable natural gas. This allows a tanker truck to deliver this milk all through the upper Midwest. Therefore, 2 million gallons of natural gas fuel is produced using this farming technique. ",15
35,"I believe the best option would be video two because in it, they are taking something that could be harmful to the earth and making it into something green and beneficial. It is almost unrealistic to ask the whole world to stop eating meat like in the first video.",15
36, I would tell my friends to not eat meat three times a week and instead only have it once a week because of its negative effects on both the environment and on our bodies. ,20
37,"I would suggest for my friends to cut down on beef and dairy consumption all together, as it is a change i have already made in my life (i eat pork and chicken, and rarely red meat. I do not drink milk). Cutting down on a smaller scale will have big results if enough people do it, compared to farms spending millions to fix a problem that we as consumers can fix just by making a healthier dietary choice.",20
38,"Eating ""green"", and healthy protein! Protein is better if it is not processed because has less chemicals in it. I don't believe there is enough research to prove their negative long-term effects, but they are the worse of the two. ",15
39,"In my opinion the best option is to go vegan. I have been vegan for about a year now and it has been the best decision I have ever made. Not only is it ethically better, it also helps preserve our environment. The health benefits are also numerous.",25
40,sustainable farming is the most beneficial option because it saves the environment by helping with the conservation of natural resources. It also reduces the need chemical fertilizers and pesticides. It also protects health.,30
41,"I would say the best, most realistic option would be to make our farms more sustainable. However to make an impact on an individual scale, it would be best to cut down on beef consumption.",10
42,"Based on the videos, the sustainable farming techniques are much more environmentally friendly. The methods they used helped to clean the manure on the farm, while also recycling it for further use. They take more time to ensure the cows they raise will not be as large of a contribution to the greenhouse gases by recycling the manure for more beneficial uses like fertilizer and natural gases.",25
43,"I said the second video would be the best choice just caused it tell us the good side of the cows and how people use cow manure in a different but efficient way for the environment

",10
44,Cows hold much importance in the U.S. even though they produce large amounts of greenhouse gasses the use of their manure as fuel helps to reduce the amount of gas used. Cows are very versatile with their uses ranging from milk and meat production to transportation and other services.,0
45,"I would tell my friends the best option is to cut down on red meat weekly. I would advise them to limit their intake on cheese, milk, and saturated fats. The $2.00 really isn't worth it, because we are paying for it in other ways. Such as the environment, and pollution that is causes. Although, there have been making scientific breakthroughs with how we handle the maneuver from animals to prevent further damage, everything helps to make us live a better life  ",20
46,It is best to choose a moderate approach. There are many costs of the hamburger and it may be harmful to a diet but if you would like to eat in moderation it is okay.,5
47,"Eliminate beef completely from your diet, because you can easily get protien from other sources without all the negative effects.",10
48,I would tell my friends to think about the food choices that we make on the daily because they can have negative long-term effects. ,0
49,"I would tell my friends sustainable farming is the better option for many reasons. One, sustainable farming is better for the environment. It maintains soil quality which reduces soil degradation and erosion which saves water. Sustainable farming is also better for agriculture. ",25
50,"You have to pick and choose which companies you buy your meat or milk from. Cows can be harmful to the environment, but only if you support those companies that aren't farming sustainably. Yes, you can find other sources for the protein, but what happens to those companies that are benefiting the environment and are trying to take care of us?",10
51,I would tell my friends that eating meatless protein options is better because it is more environmentally friendly and the cost is less than meat sources.,20
52,To not eat caged meat.,0
53,"Based on the two videos, I would tell my friends about the cycle with the cows and how the famers recycle the wastes that is  used rather than throwing them away. They utilize what they have and give back to the environment. To me, I feel like this is the better option because rather than the unhealthy burgers that was in the first video, the second video shows how they use the milk and manure from cows to create their own gas which saves a ton of money. ",30
54,The best option would be taking all of the cow manure produced and turning it into renewable energy to power trucks and other buildings.  ,5
55,"I would tell my friends more about the first video and the harm that meat production and cattle farms have on us and the environment. While the information in the second video is a step forward for the world and the environment, not many other farms around the world are doing the same thing, making it important that we as consumers take steps to limit our meat and dairy consumption.",25
56,I think that eating local meat is best since there is less environmental impact. When you don't have to transport the animal long distances it helps to reduce carbon emissions. ,20
57,The best option is not feeding the cows the corn and feeding them more grass since they are big producers of methane gas and it is a huge factor of climate change over CO2 emissions.,20
58,try to eat less meat and dairy products ,10
59,The best option is to continue practicing farm usage like the second video and focus on recycling and educating people on this issue,10
60,I will tell them to eat meat if they please too because animals are someone else food chain and you should eat what you enjoy just in moderation.,10
61,"The best choice would be limiting the consumption of meat to help one, with the environment, and because it is healthier.",20
62,Buying protein from local farms with no added hormones ,15
